LocationID,Borough,Zone,lat,long
1,EWR,Newark Airport,40.689064,-74.1772549
2,Queens,Jamaica Bay,40.6173,-73.8388
3,Bronx,Allerton/Pelham Gardens,40.8627648,-73.843439
4,Manhattan,Alphabet City,40.7247104,-73.9784161
5,Staten Island,Arden Heights,40.5501377,-74.1875791
6,Staten Island,Arrochar/Fort Wadsworth,40.60210944,-74.05576944
7,Queens,Astoria,40.7717703,-73.9244488
8,Queens,Astoria Park,40.7778442,-73.9233112
9,Queens,Auburndale,40.7577501,-73.7833506
10,Queens,Baisley Park,40.67684642,-73.78299952
11,Brooklyn,Bath Beach,40.6038869,-74.0061723
12,Manhattan,Battery Park,40.7027147,-74.0158059
13,Manhattan,Battery Park City,40.7100665,-74.0163668
14,Brooklyn,Bay Ridge,40.625747,-74.027184
15,Queens,Bay Terrace/Fort Totten,40.7766547,-73.7828037
16,Queens,Bayside,40.7602637,-73.769324
17,Brooklyn,Bedford,40.720095,-73.9556586
18,Bronx,Bedford Park,40.8721339,-73.8878636
19,Queens,Bellerose,40.7381955,-73.7223477
20,Bronx,Belmont,40.8588558,-73.8859493
21,Brooklyn,Bensonhurst East,40.6014865,-73.9971381
22,Brooklyn,Bensonhurst West,40.6002941,-73.991101
23,Staten Island,Bloomfield/Emerson Hill,40.6126039,-74.1781995
24,Manhattan,Bloomingdale,40.7997764,-73.9677716
25,Brooklyn,Boerum Hill,40.6856261,-73.9841707
26,Brooklyn,Borough Park,40.633993,-73.9968059
27,Queens,Breezy Point/Fort Tilden/Riis Beach,40.5561811,-73.9268569
28,Queens,Briarwood/Jamaica Hills,40.7092563,-73.8201394
29,Brooklyn,Brighton Beach,40.577621,-73.961376
30,Queens,Broad Channel,40.6064008,-73.8190188
31,Bronx,Bronx Park,44.950875,-93.3676488
32,Bronx,Bronxdale,40.8506558,-73.8665241
33,Brooklyn,Brooklyn Heights,40.6960849,-73.9950278
34,Brooklyn,Brooklyn Navy Yard,40.6997716,-73.9753359
35,Brooklyn,Brownsville,40.665306,-73.9124755
36,Brooklyn,Bushwick North,40.7049856,-73.9289062
37,Brooklyn,Bushwick South,40.6942867,-73.9258836
38,Queens,Cambria Heights,40.6945474,-73.7384653
39,Brooklyn,Canarsie,40.643715,-73.9006921
40,Brooklyn,Carroll Gardens,40.6784201,-73.9948021
41,Manhattan,Central Harlem,40.816357,-73.962898
42,Manhattan,Central Harlem North,40.798506,-73.952669
43,Manhattan,Central Park,41.4196167,-87.9875888
44,Staten Island,Charleston/Tottenville,40.5367719,-74.2373672
45,Manhattan,Chinatown,40.7164913,-73.9962504
46,Bronx,City Island,40.8474333,-73.7864295
47,Bronx,Claremont/Bathgate,40.8398756,-73.9073276
48,Manhattan,Clinton East,40.7653013,-73.9832463
49,Brooklyn,Clinton Hill,40.6897222,-73.9652778
50,Manhattan,Clinton West,40.7618082,-74.0006471
51,Bronx,Co-Op City,40.8738889,-73.8294444
52,Brooklyn,Cobble Hill,40.687547,-73.9973352
53,Queens,College Point,40.7876014,-73.8459682
54,Brooklyn,Columbia Street,40.6878257,-74.0013508
55,Brooklyn,Coney Island,40.5758071,-73.9921753
56,Queens,Corona,40.7469593,-73.8601456
57,Queens,Corona,40.74495316,-73.85988047
58,Bronx,Country Club,40.8391667,-73.8197222
59,Bronx,Crotona Park,40.8388132,-73.8923985
60,Bronx,Crotona Park East,40.8381903,-73.8874364
61,Brooklyn,Crown Heights North,40.6699924,-73.9504891
62,Brooklyn,Crown Heights South,40.6697114,-73.9501132
63,Brooklyn,Cypress Hills,40.6770477,-73.8912474
64,Queens,Douglaston,40.768713,-73.7470765
65,Brooklyn,Downtown Brooklyn/MetroTech,40.69218,-73.985942
66,Brooklyn,DUMBO/Vinegar Hill,40.7029052,-73.990118
67,Brooklyn,Dyker Heights,40.6204716,-74.0116668
68,Manhattan,East Chelsea,40.7471784,-73.982025
69,Bronx,East Concourse/Concourse Village,40.8226558,-73.9200723
70,Queens,East Elmhurst,40.7612123,-73.8651358
71,Brooklyn,East Flatbush/Farragut,40.63969306,-73.93386179
72,Brooklyn,East Flatbush/Remsen Village,40.65533022,-73.91946901
73,Queens,East Flushing,40.7575366,-73.7843045
74,Manhattan,East Harlem North,40.803225,-73.9417276
75,Manhattan,East Harlem South,40.8012446,-73.9308978
76,Brooklyn,East New York,40.6667702,-73.8823583
77,Brooklyn,East New York/Pennsylvania Avenue,40.66434368,-73.89585316
78,Bronx,East Tremont,40.8453781,-73.8909693
79,Manhattan,East Village,40.7292688,-73.9873613
80,Brooklyn,East Williamsburg,40.71171001,-73.96739091
81,Bronx,Eastchester,40.8884329,-73.8281895
82,Queens,Elmhurst,40.7365804,-73.8783932
83,Queens,Elmhurst/Maspeth,40.723158,-73.912637
84,Staten Island,Eltingville/Annadale/Prince's Bay,40.5229748,-74.1993862
85,Brooklyn,Erasmus,40.6495482,-73.9559714
86,Queens,Far Rockaway,40.6053825,-73.7551326
87,Manhattan,Financial District North,40.7121392,-74.0131756
88,Manhattan,Financial District South,40.7057505,-74.0029056
89,Brooklyn,Flatbush/Ditmas Park,40.6375343,-73.9634055
90,Manhattan,Flatiron,40.7410592,-73.9896416
91,Brooklyn,Flatlands,40.6212155,-73.9348597
92,Queens,Flushing,40.7654301,-73.8174291
93,Queens,Flushing Meadows-Corona Park,40.7401,-73.84069
94,Bronx,Fordham South,40.8636237,-73.8877483
95,Queens,Forest Hills,40.7231009,-73.8466125
96,Queens,Forest Park/Highland Park,40.68614273,-73.8889921
97,Brooklyn,Fort Greene,40.6907711,-73.9766245
98,Queens,Fresh Meadows,40.7348246,-73.7934668
99,Staten Island,Freshkills Park,40.5792719,-74.1800029
100,Manhattan,Garment District,40.7536941,-73.9905167
101,Queens,Glen Oaks,40.7470463,-73.7115199
102,Queens,Glendale,40.7014917,-73.8868028
103,Manhattan,Governor's Island,40.68899,-74.01903
104,Manhattan,Ellis Island,40.6985935,-74.0420135
105,Manhattan,Liberty Island,40.6897952,-74.0451239
106,Brooklyn,Gowanus,40.6791695,-73.9885041
107,Manhattan,Gramercy,40.7355189,-73.9840794
108,Brooklyn,Gravesend,40.5961338,-73.9739426
109,Staten Island,Great Kills,40.5542718,-74.1515318
110,Staten Island,Great Kills Park,40.54637858,-74.12333697
111,Brooklyn,Green-Wood Cemetery,40.652203,-73.9910769
112,Brooklyn,Greenpoint,40.7237134,-73.9509714
113,Manhattan,Greenwich Village North,40.7317312,-73.9976185
114,Manhattan,Greenwich Village South,40.730669,-73.998842
115,Staten Island,Grymes Hill/Clifton,40.85843,-74.16376
116,Manhattan,Hamilton Heights,40.8241451,-73.9500618
117,Queens,Hammels/Arverne,40.5871898,-73.8111059
118,Staten Island,Heartland Village/Todt Hill,40.60233,-74.11209
119,Bronx,Highbridge,40.8365324,-73.9295956
120,Manhattan,Highbridge Park,40.8459177,-73.9298448
121,Queens,Hillcrest/Pomonok,40.7324478,-73.8088309
122,Queens,Hollis,40.7134361,-73.7670772
123,Brooklyn,Homecrest,40.5861133,-73.9572994
124,Queens,Howard Beach,40.5861133,-73.9572994
125,Manhattan,Hudson Sq,40.7268035,-74.0079833
126,Bronx,Hunts Point,40.8126008,-73.8840247
127,Manhattan,Inwood,40.8692579,-73.9204949
128,Manhattan,Inwood Hill Park,40.8722736,-73.9254271
129,Queens,Jackson Heights,40.75468311,-73.88384384
130,Queens,Jamaica,40.7029134,-73.8006429
131,Queens,Jamaica Estates,40.714531,-73.794435
132,Queens,JFK Airport,40.64720372,-73.77925977
133,Brooklyn,Kensington,40.6462149,-73.970694
134,Queens,Kew Gardens,40.7139415,-73.830742
135,Queens,Kew Gardens Hills,40.7302467,-73.8184806
136,Bronx,Kingsbridge Heights,40.8725702,-73.9026619
137,Manhattan,Kips Bay,40.7395463,-73.9770832
138,Queens,LaGuardia Airport,40.77393869,-73.87378063
139,Queens,Laurelton,40.6667703,-73.7515212
140,Manhattan,Lenox Hill East,40.7689307,-73.9596964
141,Manhattan,Lenox Hill West,40.7676946,-73.9647169
142,Manhattan,Lincoln Square East,40.77187949,-73.98286039
143,Manhattan,Lincoln Square West,40.77293759,-73.98540869
144,Manhattan,Little Italy/NoLiTa,40.7229886,-73.994558
145,Queens,Long Island City/Hunters Point,40.7424147,-73.9481036
146,Queens,Long Island City/Queens Plaza,40.750607,-73.9402599
147,Bronx,Longwood,40.8162916,-73.8962205
148,Manhattan,Lower East Side,40.7159357,-73.9868057
149,Brooklyn,Madison,40.6105009,-73.9476585
150,Brooklyn,Manhattan Beach,40.5766309,-73.9409798
